City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Manzanillo,CU,20.3433,-77.1167,91.4,51,81,11.97,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,74.03,72,100,15.08,overcast clouds
2,Atuona,PF,-9.8,-139.0333,77.38,65,0,20.74,clear sky
3,Ahipara,NZ,-35.1667,173.1667,57.81,90,19,16.75,few clouds
4,East London,ZA,-33.0153,27.9116,65.21,72,99,4.25,overcast clouds
5,Zhigansk,RU,66.7697,123.3711,66.36,68,11,3.56,few clouds
6,Lompoc,US,34.6391,-120.4579,86.02,71,0,13.0,clear sky
7,Dangriga,BZ,16.9692,-88.2321,83.26,77,97,12.62,overcast clouds
8,Aklavik,CA,68.2191,-135.0107,59.52,43,41,17.98,scattered clouds
9,Leningradskiy,RU,69.3833,178.4167,37.51,86,96,2.84,overcast clouds
10,Georgetown,MY,5.4112,100.3354,80.53,90,40,3.44,scattered clouds
11,Mawlaik,MM,23.6333,94.4167,76.6,98,98,1.5,overcast clouds
12,Faya,SA,18.3851,42.4509,66.31,66,100,6.71,light rain
13,La Ronge,CA,55.1001,-105.2842,70.02,40,40,10.36,scattered clouds
14,Hobart,AU,-42.8794,147.3294,46.26,77,100,8.05,overcast clouds
15,Saldanha,ZA,-33.0117,17.9442,50.05,76,0,5.77,clear sky
16,Thompson,CA,55.7435,-97.8558,59.16,77,100,13.8,overcast clouds
17,Olga,RU,43.7444,135.2892,66.83,98,100,4.34,overcast clouds
18,Kapoeta,SS,4.7717,33.5903,74.62,68,100,3.83,overcast clouds
19,Dryden,CA,49.7833,-92.7503,57.49,94,100,4.61,moderate rain
20,Siteki,SZ,-26.45,31.95,57.42,66,25,5.84,scattered clouds
21,Nanortalik,GL,60.1432,-45.2371,44.46,83,74,4.21,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,24.16,scattered clouds
23,Provideniya,RU,64.3833,-173.3,46.04,79,100,6.67,overcast clouds
24,Port Elizabeth,ZA,-33.918,25.5701,58.32,91,0,6.91,clear sky
25,Santa Maria,BR,-29.6842,-53.8069,76.3,69,0,3.44,clear sky
26,Ibra,OM,22.6906,58.5334,77.79,72,80,9.6,broken clouds
27,Vaini,TO,-21.2,-175.2,71.76,88,20,5.75,few clouds
28,Beatrice,US,40.2681,-96.747,85.17,48,0,3.44,clear sky
29,Beringovskiy,RU,63.05,179.3167,47.59,89,67,4.81,broken clouds
30,Seoul,KR,37.5683,126.9778,78.4,71,0,12.66,clear sky
31,Saskylakh,RU,71.9167,114.0833,63.09,89,100,14.07,overcast clouds
32,Busselton,AU,-33.65,115.3333,51.55,74,5,7.14,clear sky
33,Kupang,ID,-10.1667,123.5833,74.23,74,23,13.91,few clouds
34,Ilulissat,GL,69.2167,-51.1,44.62,87,75,5.75,broken clouds
35,Narsaq,GL,60.9167,-46.05,55.62,78,18,7.18,few clouds
36,Salym,RU,60.0625,71.4789,55.08,79,100,6.51,overcast clouds
37,Tasiilaq,GL,65.6145,-37.6368,44.76,89,86,2.3,overcast clouds
38,Methoni,GR,36.8197,21.7049,85.21,75,0,5.93,clear sky
39,Maridi,SS,4.9158,29.4742,66.96,97,100,1.59,overcast clouds
40,La Libertad,EC,-2.2333,-80.9,74.86,73,20,10.36,few clouds
41,Kapaa,US,22.0752,-159.319,82.72,72,75,13.8,broken clouds
42,Ouesso,CG,1.6136,16.0517,77.23,71,100,2.44,overcast clouds
43,Plettenberg Bay,ZA,-34.0527,23.3716,56.55,80,0,6.04,clear sky
44,Vargashi,RU,55.3556,65.8467,59.81,70,100,12.75,overcast clouds
45,Bluff,NZ,-46.6,168.3333,47.8,87,100,11.86,overcast clouds
46,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,69,0,19.57,clear sky
47,Hermanus,ZA,-34.4187,19.2345,53.58,82,0,11.92,clear sky
48,Albany,US,42.6001,-73.9662,83.05,51,100,3.33,overcast clouds
49,Cidreira,BR,-30.1811,-50.2056,62.78,82,62,6.91,broken clouds
50,Khatanga,RU,71.9667,102.5,59.4,71,100,2.64,overcast clouds
51,Ushuaia,AR,-54.8,-68.3,42.46,61,40,4.61,scattered clouds
52,Waipawa,NZ,-41.4122,175.5153,48.96,91,100,5.66,light rain
53,Quilmana,PE,-12.95,-76.3833,67.59,70,19,9.44,few clouds
54,Coihueco,CL,-36.6167,-71.8333,57.94,58,40,6.91,scattered clouds
55,Kambja,EE,58.2335,26.696,56.82,87,12,3.44,few clouds
56,Kruisfontein,ZA,-34.0033,24.7314,50.88,90,26,3.4,scattered clouds
57,Te Anau,NZ,-45.4167,167.7167,42.03,98,100,2.89,overcast clouds
58,Mar Del Plata,AR,-38.0023,-57.5575,54.09,60,100,6.91,light rain
59,Jumla,NP,29.2747,82.1838,61.86,98,100,1.23,overcast clouds
60,Pemangkat,ID,1.1667,108.9667,76.98,89,100,4.79,overcast clouds
61,Bredasdorp,ZA,-34.5322,20.0403,50.52,91,0,5.79,clear sky
62,Hithadhoo,MV,-0.6,73.0833,81.95,76,100,10.36,overcast clouds
63,Khandyga,RU,62.6667,135.6,64.76,90,38,1.66,scattered clouds
64,Kaitangata,NZ,-46.2817,169.8464,44.26,95,100,4.7,overcast clouds
65,Sorland,NO,67.667,12.6934,49.86,82,92,18.1,overcast clouds
66,Ondjiva,AO,-17.0667,15.7333,64.13,29,30,2.86,scattered clouds
67,Lebu,CL,-37.6167,-73.65,54.41,74,32,10.18,scattered clouds
68,Luderitz,NA,-26.6481,15.1594,57.45,72,0,6.13,clear sky
69,Katsuura,JP,35.1333,140.3,78.91,92,100,12.01,overcast clouds
70,Butaritari,KI,3.0707,172.7902,81.39,76,0,17.72,light rain
71,Mataura,NZ,-46.1927,168.8643,47.48,99,100,2.08,overcast clouds
72,Betare Oya,CM,5.6,14.0833,67.64,96,100,2.77,moderate rain
73,Xam Nua,LA,20.4197,104.0439,68.31,86,97,2.1,overcast clouds
74,San Policarpo,PH,12.1791,125.5072,77.63,91,100,5.53,overcast clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,67,75,17.27,broken clouds
76,Port Alfred,ZA,-33.5906,26.891,64.17,70,99,6.67,overcast clouds
77,Sawakin,SD,19.1059,37.3321,93.67,56,9,7.27,clear sky
78,Chaah,MY,2.249,103.048,75.04,97,68,1.92,broken clouds
79,Pilar,BR,-9.5972,-35.9567,78.73,87,85,5.46,overcast clouds
80,Asheville,US,35.6009,-82.554,87.22,67,100,12.66,overcast clouds
81,Clyde River,CA,70.4692,-68.5914,41.23,100,100,4.61,light rain
82,Havelock,US,34.8791,-76.9013,96.75,74,0,16.11,clear sky
83,Kodiak,US,57.79,-152.4072,60.31,55,0,9.22,clear sky
84,Barrow,US,71.2906,-156.7887,33.71,98,100,14.94,overcast clouds
85,Kayes,ML,14.0,-11.0,83.19,74,60,12.21,broken clouds
86,Avarua,CK,-21.2078,-159.775,75.25,64,75,13.8,broken clouds
87,Victoria,HK,22.2855,114.1577,86.05,82,0,5.99,clear sky
88,Alice Springs,AU,-23.7,133.8833,29.75,69,0,0.0,clear sky
89,Dunedin,NZ,-45.8742,170.5036,45.21,93,100,8.59,overcast clouds
90,Teplyk,UA,48.6657,29.745,70.27,54,81,11.36,broken clouds
91,Ponta Do Sol,PT,32.6667,-17.1,75.7,77,0,5.37,clear sky
92,Moron,AR,-34.6534,-58.6198,69.8,94,75,8.05,broken clouds
93,Lavrentiya,RU,65.5833,-171.0,42.35,82,100,7.67,overcast clouds
94,Flinders,AU,-34.5833,150.8552,55.18,66,0,11.99,clear sky
95,Vao,NC,-22.6667,167.4833,68.99,71,16,10.11,few clouds
96,Matara,LK,5.9485,80.5353,75.54,92,94,6.2,overcast clouds
97,Carnarvon,AU,-24.8667,113.6333,69.12,53,100,1.59,overcast clouds
98,Hilo,US,19.7297,-155.09,88.29,82,0,10.36,clear sky
99,Bonfim,BR,3.0833,-59.95,80.38,80,92,4.85,moderate rain
100,Fortuna,US,40.5982,-124.1573,72.93,70,28,5.01,scattered clouds
101,Krasnoborsk,RU,61.5598,45.934,62.83,79,13,6.26,few clouds
102,Sitka,US,57.0531,-135.33,62.49,67,20,5.75,few clouds
103,Castro,BR,-24.7911,-50.0119,67.93,60,92,2.15,overcast clouds
104,Morristown,US,36.214,-83.2949,89.33,65,20,13.8,few clouds
105,Zhezkazgan,KZ,47.8043,67.7144,75.06,44,0,5.59,clear sky
106,Staryy Nadym,RU,65.6118,72.6842,51.42,74,5,6.26,clear sky
107,Ribeira Grande,PT,38.5167,-28.7,77.4,83,75,13.8,broken clouds
108,Labrea,BR,-7.2586,-64.7981,98.06,20,47,2.3,scattered clouds
109,Adilabad,IN,19.6667,78.5333,78.12,86,100,1.83,overcast clouds
110,Shahada,IN,21.55,74.4667,77.95,87,100,9.06,overcast clouds
111,Lasa,IT,46.6166,10.7002,64.36,90,24,0.31,few clouds
112,Kurchum,KZ,48.5722,83.6542,67.77,41,7,4.65,clear sky
113,Klaksvik,FO,62.2266,-6.589,52.72,87,100,12.06,overcast clouds
114,Burnie,AU,-41.0667,145.9167,44.94,72,14,8.81,few clouds
115,Lac Du Bonnet,CA,50.2536,-96.0612,59.43,90,100,11.39,light rain
116,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,81,5.99,broken clouds
117,Arlit,NE,18.7369,7.3853,101.89,11,8,8.75,clear sky
118,Barra Da Estiva,BR,-13.6261,-41.3269,69.3,45,1,6.26,clear sky
119,Ozuluama,MX,21.6667,-97.85,91.94,46,74,14.12,broken clouds
120,Nanton,CA,50.3501,-113.7687,83.88,38,3,6.87,clear sky
121,Isangel,VU,-19.55,169.2667,69.91,94,91,4.61,light rain
122,Golden,US,39.7555,-105.2211,87.98,48,20,11.5,few clouds
123,Port Hardy,CA,50.6996,-127.4199,69.98,73,0,3.44,clear sky
124,Saint-Joseph,RE,-21.3667,55.6167,64.78,76,25,4.16,scattered clouds
125,Sanzieni,RO,46.05,26.1333,61.9,91,31,6.06,scattered clouds
126,Cherskiy,RU,68.75,161.3,47.68,58,56,2.17,broken clouds
127,General Pico,AR,-35.6566,-63.7568,50.31,87,100,15.37,overcast clouds
128,Vanimo,PG,-2.6741,141.3028,76.73,90,49,5.26,scattered clouds
129,Yellowknife,CA,62.456,-114.3525,66.72,59,75,4.61,broken clouds
130,Sulangan,PH,11.1373,123.7228,83.98,73,100,8.77,overcast clouds
131,Bengkulu,ID,-3.8004,102.2655,75.74,87,52,3.62,broken clouds
132,Gillette,US,44.2911,-105.5022,82.02,32,0,16.11,clear sky
133,Qaanaaq,GL,77.484,-69.3632,40.53,79,95,7.74,overcast clouds
134,Coahuayana,MX,18.7333,-103.6833,89.02,54,95,6.24,overcast clouds
135,Mount Gambier,AU,-37.8333,140.7667,39.11,100,75,0.0,mist
136,Vila Velha,BR,-20.3297,-40.2925,76.95,75,0,9.22,clear sky
137,Port Blair,IN,11.6667,92.75,81.48,80,60,4.03,broken clouds
138,Sri Aman,MY,1.2376,111.4621,75.25,100,100,0.0,overcast clouds
139,Santa Cruz Del Sur,CU,20.7147,-77.9956,90.05,53,43,7.85,scattered clouds
140,Andijon,UZ,40.7821,72.3442,83.48,21,4,5.3,clear sky
141,Rundu,NA,-17.9333,19.7667,61.68,29,10,6.85,clear sky
142,Monroe,US,43.1501,-77.6831,84.65,59,75,3.44,broken clouds
143,Pietarsaari,FI,63.65,22.6833,59.13,72,45,9.46,scattered clouds
144,Longyearbyen,SJ,78.2186,15.6401,48.04,71,40,23.02,scattered clouds
145,Mehamn,NO,71.0357,27.8492,53.51,100,100,8.05,mist
146,Saint George,US,37.1041,-113.5841,98.64,39,0,3.0,clear sky
147,Sept-Iles,CA,50.2001,-66.3821,69.06,70,75,13.8,broken clouds
148,Mayo,US,38.8876,-76.5119,90.01,75,100,3.0,overcast clouds
149,Constitucion,CL,-35.3333,-72.4167,55.2,67,1,4.63,clear sky
150,Souillac,MU,-20.5167,57.5167,68.38,88,75,11.5,broken clouds
151,Jamestown,US,42.097,-79.2353,76.59,45,100,8.05,overcast clouds
152,Ankpa,NG,7.3706,7.6253,71.58,94,97,5.01,overcast clouds
153,Panaba,MX,21.2833,-88.2667,84.16,66,87,13.02,overcast clouds
154,North Bend,US,43.4065,-124.2243,81.25,88,0,10.36,clear sky
155,San Rafael,AR,-34.6177,-68.3301,50.5,64,100,8.86,overcast clouds
156,Geraldton,AU,-28.7667,114.6,55.81,71,40,11.5,scattered clouds
157,Manokwari,ID,-0.8667,134.0833,77.13,82,74,1.77,broken clouds
158,Antalaha,MG,-14.9003,50.2788,68.05,80,98,6.11,overcast clouds
159,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,78,20,16.11,few clouds
160,Pevek,RU,69.7008,170.3133,34.54,91,100,3.4,overcast clouds
161,Mustasaari,FI,63.1142,21.6822,61.9,67,0,5.75,clear sky
162,Camargo,MX,27.6667,-105.1667,88.36,32,23,3.44,few clouds
163,Atambua,ID,-9.1061,124.8925,66.47,83,24,7.56,few clouds
164,Ermelo,ZA,-26.5333,29.9833,48.42,75,23,4.99,few clouds
165,Front Royal,US,38.9182,-78.1944,88.52,70,100,5.75,overcast clouds
166,Cape Town,ZA,-33.9258,18.4232,61.92,71,0,8.05,clear sky
167,Roald,NO,62.5833,6.1333,55.76,82,75,4.61,broken clouds
168,Esperance,AU,-33.8667,121.9,53.04,75,34,14.47,scattered clouds
169,Tura,IN,25.5198,90.2201,75.33,88,93,3.51,overcast clouds
170,New Norfolk,AU,-42.7826,147.0587,45.9,80,62,5.75,broken clouds
171,Rudnya,RU,54.947,31.0934,60.37,95,100,5.5,light rain
172,Tuatapere,NZ,-46.1333,167.6833,43.99,96,100,0.85,overcast clouds
173,Pangnirtung,CA,66.1451,-65.7125,50.0,76,75,10.36,broken clouds
174,Vihti,FI,60.417,24.3197,61.86,100,62,5.99,broken clouds
175,Pasni,PK,25.2631,63.471,82.0,83,100,5.12,overcast clouds
176,Juba,SS,4.8517,31.5825,70.43,89,91,2.28,overcast clouds
177,Severo-Kurilsk,RU,50.6789,156.125,53.04,89,49,6.85,scattered clouds
178,Dezful,IR,32.3811,48.4058,95.63,14,2,7.78,clear sky
179,Agadez,NE,19.75,10.25,93.56,12,4,7.63,clear sky
180,Westminster,US,39.8367,-105.0372,89.92,41,20,11.5,few clouds
181,Wembley,AU,-31.9333,115.8,57.4,69,4,0.0,clear sky
182,Bambous Virieux,MU,-20.3428,57.7575,71.22,88,75,11.5,broken clouds
183,Labuhan,ID,-6.8844,112.2051,75.83,87,13,6.02,few clouds
184,Zyryanka,RU,65.75,150.85,49.87,56,72,7.2,broken clouds
185,Xining,CN,36.6167,101.7667,53.02,53,5,2.57,clear sky
186,Bethel,US,41.3712,-73.414,88.36,48,40,10.36,scattered clouds
187,Saint-Philippe,RE,-21.3585,55.7679,65.79,73,5,5.84,clear sky
188,Belmonte,BR,-15.8631,-38.8828,73.38,70,1,7.2,clear sky
189,Henties Bay,NA,-22.116,14.2845,55.09,79,2,6.33,clear sky
190,Atar,MR,20.5169,-13.0499,104.7,13,2,8.32,clear sky
191,Dikson,RU,73.5069,80.5464,41.34,95,94,13.18,overcast clouds
192,Keller,US,32.9346,-97.2517,104.81,36,40,9.22,scattered clouds
193,Pontianak,ID,-0.0333,109.3333,76.98,94,100,1.14,light rain
194,Half Moon Bay,US,37.4636,-122.4286,83.53,70,75,14.97,broken clouds
195,Asau,RO,46.4333,26.4,68.92,86,7,3.44,clear sky
196,Kavaratti,IN,10.5669,72.642,80.51,80,100,19.91,overcast clouds
197,Kamaishi,JP,39.2667,141.8833,71.8,95,23,4.41,few clouds
198,Candelaria,PH,13.9311,121.4233,79.39,95,100,4.34,overcast clouds
199,Kovdor,RU,67.5662,30.4758,57.49,82,0,8.39,clear sky
200,Amarante Do Maranhao,BR,-5.5667,-46.7422,93.06,26,36,4.63,scattered clouds
201,Chifeng,CN,42.2683,118.9636,66.85,89,100,0.36,overcast clouds
202,Airai,TL,-8.9266,125.4092,50.94,84,61,4.18,broken clouds
203,Mahebourg,MU,-20.4081,57.7,71.26,88,75,11.5,broken clouds
204,Luanda,AO,-8.8368,13.2343,68.47,91,48,7.67,scattered clouds
205,Mancora,PE,-4.1078,-81.0475,74.08,70,44,9.51,scattered clouds
206,Boguchany,RU,58.3814,97.4531,57.2,95,100,4.0,overcast clouds
207,Coihaique,CL,-45.5752,-72.0662,46.35,34,0,5.75,clear sky
208,Doha,QA,25.2867,51.5333,91.38,70,20,13.8,few clouds
209,Tadine,NC,-21.55,167.8833,68.67,77,100,11.61,overcast clouds
210,Veinticinco De Mayo,AR,-35.4323,-60.1727,61.99,99,100,1.99,overcast clouds
211,Nipawin,CA,53.3668,-104.0009,69.84,49,20,12.66,few clouds
212,Karsava,LV,56.7841,27.6883,55.04,86,4,7.43,clear sky
213,Necochea,AR,-38.5473,-58.7368,51.51,96,93,9.22,light rain
214,Melito Di Porto Salvo,IT,37.9222,15.7714,83.53,74,0,12.66,clear sky
215,Kenai,US,60.5544,-151.2583,64.02,68,0,4.61,clear sky
216,Cayenne,GF,4.9333,-52.3333,80.1,1,75,2.3,broken clouds
217,Meulaboh,ID,4.1363,96.1285,75.25,90,100,4.81,overcast clouds
218,Norman Wells,CA,65.282,-126.8329,62.64,48,20,10.36,few clouds
219,Noumea,NC,-22.2763,166.4572,69.01,99,75,2.84,broken clouds
220,Talnakh,RU,69.4865,88.3972,58.21,56,72,5.73,broken clouds
221,Tsevie,TG,6.4261,1.2133,77.88,76,95,10.74,overcast clouds
222,Eyrarbakki,IS,63.863,-21.1481,55.2,93,100,14.23,overcast clouds
